Nume ,Cod,Pret,UM,Furnizor,Producator,Cod Furnizor,,Grosime,Latime,Lungime
Suport_polita_negru,'103340145,0.12,,Schachermayer,Hafele,103340145,,,,
Maner_Inox_Negru_96,'112.04.082,9,Buc,Schachermayer,Hafele,,,,,
Maner_la_Alegere,'Kuz_rendom_01,75,Buc,La Alegere,La Alegere,Kuz_rendom_01,,,,
Suport_prindere_Bara_Haine_Polita,'103385263,22.61,,Schachermayer,Hafele,103385263,,,,
Suport_bara_haine_h_75mm,'2000000052137,6.95,,MaM_Bricolaj,MaM_Bricolaj,2.00E+12,,,,
Tandem_Ext_Total_250,'560F2500B,116,Set,Schachermayer,BLUM,103331866,,,,
Tandem_Ext_Total_270,'560F2700B,115,Set,Schachermayer,BLUM,103331867,,,,
Tandem_Ext_Total_300,'560F300B,115,Set,Schachermayer,BLUM,103331868,,,,
Tandem_Ext_Total_350,'560F3500B,115,Set,Schachermayer,BLUM,103331869,,,,
Tandem_Ext_Total_400,'560F4000B,116,Set,Schachermayer,BLUM,103354536,,,,
Tandem_Ext_Total_450,'560D4500B,117,Set,Schachermayer,BLUM,103354537,,,,
Tandem_Ext_Total_500,'560F5000B,119,Set,Schachermayer,BLUM,103354538,,,,
Tandem_Ext_Total_550,'560F5500B,124,Set,Schachermayer,BLUM,103354539,,,,
Tandem_Ext_Total_600,'560F6000B,139,Set,Schachermayer,BLUM,103354543,,,,
SCH - Coloana extractibila VS TAL Gate Planero 600,'103378398__,3860.23,,Schachermayer,Vauth Sagel,,,,,
Copie dupa Suport_prindere_Bara_Haine_Polita,'C103385263,22.61,,Schachermayer,Hafele,103385263,,,,
TAL_Gate_Planero_600_2100,'103378398,3860.23,Buc,Schachermayer,Vauth Sagel,,,,,
VS_TAL_Larder_300_2100,'103378867,1446.15,Buc,Schachermayer,Vauth Sagel,,,,,
VS_ADD_DOOR_tavita_mica_80mm,'103342043,147.1,Buc,Schachermayer,Vauth Sagel,,,,,
VS_ADD_DOOR_rola_bucatarie,'103342047,569.04,Buc,Schachermayer,Vauth Sagel,,,,,
VS_ADD_DOOR_de_prosoape,'103342046,187.41,Buc,Schachermayer,Vauth Sagel,,,,,
VS_ADD_DOOR_ustensile_bucatarie_124mm,'103342045,192.66,Buc,Schachermayer,Vauth Sagel,,,,,
VS_COR_FLEX_cu_cosuri,'103378387,3687.53,Buc,Schachermayer,Vauth Sagel,,,,,
VS_ENVI_Space_2x22L,'103370030,1460.67,Buc,Schachermayer,Vauth Sagel,,,,,
PEKA_Sesam_Mini_Libell,'103370626,580.01,Buc,Schachermayer,Vauth Sagel,,,,,
PEKA_Sesam_Libell,'103370497,747.5,,Schachermayer,,,,,,
CORNERSTONE_MAXX_LC,'103379275,2663.08,Buc,Schachermayer,Vauth Sagel,,,,,
Rafix 20,'263.11.703,2.53,Buc,Hafele,Hafele,263.11.703,,,,
Roata pivotanta plastic Tarrox Ø75mm,'6644770,41.9,Buc,HORNBACH,HORNBACH,6644770,,,,
Cep_lemn  8 x 40 mm,'267.82.240,0.25,Buc,Hafele,Hafele,267.82.240,,,,
Minifix_Tirant,'262.28.670,0.33,Buc,Hafele,Hafele,262.28.670,,,,
Minifix_Cama,'262.26.034,0.25,Buc,Hafele,Hafele,262.26.034,,,,
Placuta Balama H_0,'173H7100,0.29,Buc,Schachermayer,BLUM,,,,,
Tip_ON_scurt,'956.1004,17.53,Buxc,Schachermayer,BLUM,103323779,,,,
Tip_On_Carcasa_Scurt,'956.1201,3,Buc,Schachermayer,SIGE,103323785,,,,
Picior_H_27,'103355631,1.66,Buc,Schachermayer,Hafele,103355631,,,,
Suport_Polita,'103340050,0.09,Buc,Schachermayer,Hafele,103340050,,,,
Placuta_cruce_diblu_h_0,'01863003,1.5,Buc,Schachermayer,BLUM,103311521,,,,
Alunecator,'103324076,0.45,Buc,Schachermayer,Hafele,,,,,
PiciorAxilo,'Picior Axilo,15,,Schachermayer,Hafele,,,,,
Comutator_Servo_alb,'23P5020_47090347,236,Buc,Schachermayer,BLUM,,,,,
Comutator_Servo_Gri_inchis,'23P5020_41142877,236,Buc,Schachermayer,BLUM,,,,,
Comutator_Servo_Gri_deschis,'23P5020_40331832,236,Buc,Schachermayer,BLUM,,,,,
Lemans_400_st,'Lemans_400_st,3600,,Schachermayer,Vauth Sagel,,,,,
coloana_jolly_1760_van,'coloana_jolly_1760_van,2800,,Schachermayer,Vauth Sagel,,,,,
coloana_jolly_1760_van_electric,'Ccoloana_jolly_1760_van,2800,,Schachermayer,Vauth Sagel,,,,,
cos_jolly_sige200,'9002730652277,550,buc,Schachermayer,SIGE,,,,,
Unitate_tip_on_blumotion_electric,'Unitate_tip_on_blumotion_electric,2500,,Schachermayer,BLUM,,,,,
Profil_vertical_servo_drive_800,'Z10T800AA,187,buc,Schachermayer,BLUM,,,,,
Balama_Ap_Inserta,'08885093,14.4,Buc,Schachermayer,BLUM,103307102,,,,
Cuplaj BLUM glisiera MOVENTO sertar lemn/PAL reglaj lateral stanga plastic,'06449983,6.9,Buc,Schachermayer,BLUM,,,,,
Cuplaj BLUM glisiera MOVENTO sertar lemn/PAL reglaj lateral dreapta plastic,'06616738,6.9,Buc,Schachermayer,BLUM,,,,,
Cuplaj_Tandem_St,'T51.1700.04_L,3.79,Buc,Schachermayer,BLUM,103357125,,,,
Cuplaj_Tandem_Dr,'T51.1700.04,3.79,Buc,Schachermayer,BLUM,103357126,,,,
Profil_vertical_servo_drive_1170,'Z10T1170A,206,buc,Schachermayer,BLUM,,,,,
Profil_vertical_servo_drive_700,'Z10T700AA,281,buc,Schachermayer,BLUM,,,,,
Cuplaj de front ALU K-XS,'0920K4101A,23.2,Buc,Schachermayer,Vauth Sagel,,,,,
Cuplaj de front Usa Lemn HK-XS,'09020K4101,3.4,Buc,Schachermayer,Vauth Sagel,,,,,
SERVO-DRIVE_HK,'23KA000,860,Buc,Schachermayer,BLUM,,,,,
Capac de acoperire AVENTOS HF Gri,'09020F8000,60.7,PER,Schachermayer,Vauth Sagel,,,,,
Capac de acoperire AVENTOS HF SV.BIJELI,'09020F800B,66.7,PER,Schachermayer,Vauth Sagel,,,,,
Capac de acoperire AVENTOS HF TGR Gri Inchis,'0920F8000A,66.7,PER,Schachermayer,Vauth Sagel,,,,,
Capac de acoperire AVENTOS HK-S Gri,'09020K8A01,21.8,PER,Schachermayer,Vauth Sagel,,,,,
Capac de acoperire AVENTOS HK-S SV. BIJELI,'0920K8A01S,27.7,PER,Schachermayer,Vauth Sagel,,,,,
Capac de acoperire AVENTOS HK TOP BIJELI,'0922K8000B,59.8,PER,Schachermayer,Vauth Sagel,,,,,
Capac de acoperire AVENTOS HK TOP Gri,'09022K8000,54.6,PER,Schachermayer,Vauth Sagel,,,,,
Capac de acoperire AVENTOS HK TOP Gri Inchis,'09022K800T,59.8,PER,Schachermayer,Vauth Sagel,,,,,
Capac de acoperire AVENTOS HL alb-mataseI,'0920L8000S,66.7,PER,Schachermayer,Vauth Sagel,,,,,
Capac de acoperire AVENTOS HS Gri,'09020S8000,64,PER,Schachermayer,Vauth Sagel,,,,,
Capac de acoperire servo drive AVENTOS HK TOP SIL,'09123K8000,644.2,PER,Schachermayer,Vauth Sagel,,,,,
Parghie 20L3500.06,'0920L35006,290.6,Set,Schachermayer,Vauth Sagel,,,,,
Parghie 20L3800.06,'0920L38006,302.5,Set,Schachermayer,Vauth Sagel,,,,,
Parghie 20L3900.06,'0920L39006,334.2,Set,Schachermayer,Vauth Sagel,,,,,
Parghie 20S3500.06,'0920S35006,302,Set,Schachermayer,Vauth Sagel,,,,,
Mecanism de Ridicare AVENTOS HK-S C,'09020K2C01,158.3,SET,Schachermayer,Vauth Sagel,,,,,
Mecanism de Ridicare AVENTOS HK-S K2C alb-matase,'09020K2C0B,227,SET,Schachermayer,Vauth Sagel,,,,,
Mecanism de Ridicare AVENTOS HK-S K2E alb-matase,'09020K2E0B,227,SET,Schachermayer,Vauth Sagel,,,,,
Mecanism de Ridicare AVENTOS HK-XS,'09020K1101,76,Buc,Schachermayer,Vauth Sagel,,,,,
Mecanism de Ridicare AVENTOS HK-XS,'09020K1301,76,Buc,Schachermayer,Vauth Sagel,,,,,
Mecanism de Ridicare AVENTOS HK-XS,'09020K1501,76,Buc,Schachermayer,Vauth Sagel,,,,,
Mecanism de Ridicare TIP-ON AVENTOS HK-XS,'0920K1101T,81.7,Buc,Schachermayer,Vauth Sagel,,,,,
Mecanism de Ridicare TIP-ON AVENTOS HK-XS,'0920K1301T,81.7,Buc,Schachermayer,Vauth Sagel,,,,,
Mecanism de Ridicare TIP-ON AVENTOS HK-XS,'0920K1501T,81.7,Buc,Schachermayer,Vauth Sagel,,,,,
Mecanism de Ridicare AVENTOS HL 20L2500.05,'0920L25005,434.1,SET,Schachermayer,Vauth Sagel,,,,,
Mecanism de Ridicare AVENTOS HL 20L2700.05,'0920L27005,434.1,SET,Schachermayer,Vauth Sagel,,,,,
Mecanism de Ridicare AVENTOS HK-S INDUsa,'09020K2E01,158.3,PER,Schachermayer,Vauth Sagel,,,,,
Mecanism de Ridicare AVENTOS HK-S TIP-ON IN,'0920K2E01T,161.6,SET,Schachermayer,Vauth Sagel,,,,,
Mecanism de Ridicare AVENTOS HK-S TIP-ON SI,'0920K2E0TB,230.3,SET,Schachermayer,Vauth Sagel,,,,,
Mecanism de Ridicare AVENTOS HK TOP - TIP-O_2500,'0922K2500T,407.1,SET,Schachermayer,Vauth Sagel,,,,,
Mecanism de Ridicare AVENTOS HK TOP - TIP-O_2700,'0922K2700T,433.1,SET,Schachermayer,Vauth Sagel,,,,,
Mecanism de Ridicare AVENTOS HK TOP - TIP-O_2900,'0922K2900T,498,SET,Schachermayer,Vauth Sagel,,,,,
Mecanism de Ridicare AVENTOS HK TOP K2500,'09022K2500,379.3,SET,Schachermayer,Vauth Sagel,,,,,
Mecanism de Ridicare AVENTOS HK TOP K2700,'09022K2700,381.2,SET,Schachermayer,Vauth Sagel,,,,,
Mecanism de Ridicare AVENTOS HK TOP K2900,'09022K2900,446,SET,Schachermayer,Vauth Sagel,,,,,
Mecanism de Ridicare AVENTOS HS S2E,'0920S2E005,446.2,SET,Schachermayer,Vauth Sagel,,,,,
Mecanism de Ridicare AVENTOS HS S2H,'0920S2H005,446.2,SET,Schachermayer,Vauth Sagel,,,,,
Mecanism de Ridicare AVENTOS HS S2I,'0920S2I005,737.8,SET,Schachermayer,Vauth Sagel,,,,,
Mecanism de Ridicare HF 20F2200.05,'0920F22005,360,SET,Schachermayer,Vauth Sagel,,,,,
Mecanism de Ridicare HF 20F2500.05,'0920F25005,377.3,SET,Schachermayer,Vauth Sagel,,,,,
Mecanism de Ridicare HF 20F2800.05,'0920F28005,415.8,SET,Schachermayer,Vauth Sagel,,,,,
STABILIZATOR AVENTOS 1061mm,'0920Q1061U,53.4,Buc,Schachermayer,Vauth Sagel,,,,,
STABILIZATOR AVENTOS 1061mm OVALNI,'092Q1061UA,79.1,Buc,Schachermayer,Vauth Sagel,,,,,
Parghie Telescopica 560-710 mm,'09020F3500,208.7,Set,Schachermayer,Vauth Sagel,,,,,
Parghie Telescopica 700-900 mm,'09020F3800,248.3,Set,Schachermayer,Vauth Sagel,,,,,
Parghie Telescopica 760-1040 mm,'09020F3900,278,Set,Schachermayer,Vauth Sagel,,,,,
Limitator unghi Deschidere AV. HF 104°,'09020F7051,10.5,Buc,Schachermayer,Vauth Sagel,,,,,
Limitator unghi Deschidere AV. HF 83°,'09020F7011,10.5,Buc,Schachermayer,Vauth Sagel,,,,,
Limitator unghi Deschidere AV. HK-S 100°,'09020K7A41,4.6,Buc,Schachermayer,Vauth Sagel,,,,,
Limitator unghi Deschidere AV. HK-S 75°,'09020K7A11,4.6,Buc,Schachermayer,Vauth Sagel,,,,,
Balama intermediara Usa Lemn,'0978Z5500T,24,Buc,Schachermayer,Vauth Sagel,,,,,
Capac de acoperire AVENTOS HF Gri_L,'C09020F8000,60.7,PER,Schachermayer,Vauth Sagel,,,,,
Capac de acoperire AVENTOS HF  SERVO-DRIVE,'21F8001,60.7,PER,Schachermayer,Vauth Sagel,,,,,
Mecanism de Ridicare AVENTOS HK-S TIP-ON SI_220-500,'09020K2B0B,230.3,SET,Schachermayer,Vauth Sagel,,,,,
Mecanism de Ridicare LF 750-2500 SERVO DRIVE,'20K2500.05,352,,Schachermayer,Vauth Sagel,,,,,
Cuplaj_front_aventos,'20S42T1,46,Buc,Schachermayer,Vauth Sagel,,,,,
Mecanism de Ridicare AVENTOS HS S2O,'0920S2G0005,446.2,SET,Schachermayer,Vauth Sagel,,,,,
Mecanism de Ridicare AVENTOS HS S2D,'0920SD0005,446.2,SET,Schachermayer,Vauth Sagel,,,,,
Mecanism de Ridicare AVENTOS HS S2R,'0920S2R0005,446.2,SET,Schachermayer,Vauth Sagel,,,,,
Mecanism de Ridicare AVENTOS HS S2A,'0920S2A0005,446.2,SET,Schachermayer,Vauth Sagel,,,,,
Mecanism de Ridicare AVENTOS HS S2B,'0920S2B0005,446.2,SET,Schachermayer,Vauth Sagel,,,,,
Mecanism de Ridicare AVENTOS HS S2C,'0920S2C0005,446.2,SET,Schachermayer,Vauth Sagel,,,,,
distantier_cu arc_servodrive,'23K8000_45400766,20,buc,Schachermayer,BLUM,,,,,
LONJERON TBX ANTARO GRI 500 mm_ZRG.437_L,'C02236035_L,4.54,,Manoflor Impex,Vauth Sagel,,,,,
LONJERON TBX ANTARO GRI 450_mm_ZRG.387,'02436584,3.42,set,Manoflor Impex,Vauth Sagel,,,,,
LONJERON TBX ANTARO GRI 450 mm_ZRG.387_L,'02436584_L,3.44,,Manoflor Impex,Vauth Sagel,,,,,
.TBX MAN si CIOC SERTAR INT M TBX ANTARO GRI ZIF.80M7,'03350802,3.43,buc,Manoflor Impex,Vauth Sagel,,,,,
.TBX CUPLAJ FRONT INSERTA TBX ANTARO ZSF.39A2,'02265901,0.46,buc,Manoflor Impex,Vauth Sagel,,,,,
.TBX SET SUP SPATE C TBX ANTARO GRI Z30C000S,'05922025,1.63,set,Manoflor Impex,Vauth Sagel,,,,,
.TBX SET SUP SPATE M TBX ANTARO GRI Z30M000S,'04799436,0.79,set,Manoflor Impex,Vauth Sagel,,,,,
.TBX ADAPTOR SUP SPATE SERTAR CHIUVETA Z30N0002.6ZA R+L,'06689160,1.16,set,Manoflor Impex,Vauth Sagel,,,,,
.GLISIERA BLUM 230M7000 CREM,'04362593,5.15,set,Manoflor Impex,Vauth Sagel,,,,,
.GLISIERA BLUM 230M7500 CREM,'04362673,6.56,set,Manoflor Impex,Vauth Sagel,,,,,
.GLISIERA BLUM 230M8000 CREM,'04362753,6.71,set,Manoflor Impex,Vauth Sagel,,,,,
.GLISIERA BLUM 230M3500 CREM,'07942443,1.73,set,Manoflor Impex,Vauth Sagel,,,,,
.GLISIERA BLUM 230M4500 CREM,'07939653,1.84,set,Manoflor Impex,Vauth Sagel,,,,,
.GLISIERA BLUM 230M5500 CREM,'07939733,2.2,set,Manoflor Impex,Vauth Sagel,,,,,
.GLISIERA BLUM 230M6000 CREM,'07942793,2.51,set,Manoflor Impex,Vauth Sagel,,,,,
.GLISIERA BLUM 230M6500 CREM,'07943253,3.52,set,Manoflor Impex,Vauth Sagel,,,,,
.TANDEM PARTIAL BLUMOTION 550H3000B,'06043142,5.5,set,Manoflor Impex,Vauth Sagel,,,,,
.TANDEM PARTIAL BLUMOTION 550H3500B,'06043902,5.53,set,Manoflor Impex,Vauth Sagel,,,,,
.TANDEM PARTIAL BLUMOTION 550H4000B,'06059902,5.59,set,Manoflor Impex,Vauth Sagel,,,,,
.TANDEM PARTIAL BLUMOTION 550H4500B,'06065542,5.68,set,Manoflor Impex,Vauth Sagel,,,,,
.TANDEM PARTIAL BLUMOTION 550H5000B,'550H5000B,5.76,set,Manoflor Impex,Vauth Sagel,,,,,
.TANDEM PARTIAL BLUMOTION 550H5500B,'06066352,6.39,set,Manoflor Impex,Vauth Sagel,,,,,
ANTARO BLUMOTION_600 mm_576.6001B,'07940082,14.31,set,Manoflor Impex,Vauth Sagel,,,,,
ANTARO BLUMOTION_650 mm_576.6501B,'07940222,16.69,set,Manoflor Impex,Vauth Sagel,,,,,
ANTARO BLUMOTION_300 mm_578.3001B,'06703902,9.56,set,Manoflor Impex,Vauth Sagel,,,,,
ANTARO BLUMOTION_350 mm_578.3501B,'06223982,9.56,set,Manoflor Impex,Vauth Sagel,,,,,
ANTARO BLUMOTION_400 mm_578.4001B,'06224102,9,set,Manoflor Impex,Vauth Sagel,,,,,
ANTARO BLUMOTION_450 mm_578.4501B,'06224282,123,set,Manoflor Impex,Vauth Sagel,,,,,
ANTARO BLUMOTION_500 mm_578.5001B,'06224362,9.14,set,Manoflor Impex,Vauth Sagel,,,,,
ANTARO BLUMOTION_550 mm_578.5501B,'06224442,10.28,set,Manoflor Impex,Vauth Sagel,,,,,
.MOVENTO BLUMOTION 40kg 760H2500B,'04699975,13.11,set,Manoflor Impex,Vauth Sagel,,,,,
.MOVENTO TIP-ON 40kg 760H2500T,'07977482,18.21,set,Manoflor Impex,Vauth Sagel,,,,,
.MOVENTO BLUMOTION 40kg 760H2700B,'02794034,14.14,set,Manoflor Impex,Vauth Sagel,,,,,
.MOVENTO TIP-ON 40kg 760H2700T,'09103109,18.21,set,Manoflor Impex,Vauth Sagel,,,,,
.MOVENTO BLUMOTION 40kg 760H3000B,'03316479,14.1,set,Manoflor Impex,Vauth Sagel,,,,,
.MOVENTO TIP-ON 40kg 760H3000T,'02974210,18.62,set,Manoflor Impex,Vauth Sagel,,,,,
.MOVENTO BLUMOTION 40kg 760H3200B,'05682085,14.14,set,Manoflor Impex,Vauth Sagel,,,,,
.MOVENTO TIP-ON 40kg 760H3200T,'03264986,18.21,set,Manoflor Impex,Vauth Sagel,,,,,
.MOVENTO BLUMOTION 40kg 760H3500B,'03736690,14.1,set,Manoflor Impex,Vauth Sagel,,,,,
.MOVENTO TIP-ON 40kg 760H3500T,'02692501,18.9,set,Manoflor Impex,Vauth Sagel,,,,,
.MOVENTO BLUMOTION 40kg 760H3800B,'09548140,14.3,set,Manoflor Impex,Vauth Sagel,,,,,
.MOVENTO TIP-ON 40kg 760H3800T,'04260811,18.34,set,Manoflor Impex,Vauth Sagel,,,,,
.MOVENTO BLUMOTION 40kg 760H4000B,'05811452,14.2,set,Manoflor Impex,Vauth Sagel,,,,,
.MOVENTO TIP-ON 40kg 760H4000T,'08932397,19.1,set,Manoflor Impex,Vauth Sagel,,,,,
.MOVENTO BLUMOTION 40kg 760H4200B,'04613874,14.46,set,Manoflor Impex,Vauth Sagel,,,,,
.MOVENTO TIP-ON 40kg 760H4200T,'02416494,18.48,set,Manoflor Impex,Vauth Sagel,,,,,
.MOVENTO BLUMOTION 40kg 760H4500B,'03118483,14.4,set,Manoflor Impex,Vauth Sagel,,,,,
.MOVENTO TIP-ON 40kg 760H4500T,'06395115,19.23,set,Manoflor Impex,Vauth Sagel,,,,,
.MOVENTO BLUMOTION 40kg 760H4800B,'01450426,14.62,set,Manoflor Impex,Vauth Sagel,,,,,
.MOVENTO TIP-ON 40kg 760H4800T,'06859847,18.62,set,Manoflor Impex,Vauth Sagel,,,,,
.MOVENTO BLUMOTION 40kg 760H5000S,'04943881,14.6,set,Manoflor Impex,Vauth Sagel,,,,,
.MOVENTO TIP-ON 40kg 760H5000T,'08885556,19.43,set,Manoflor Impex,Vauth Sagel,,,,,
.MOVENTO BLUMOTION 40kg 760H5200B,'09277162,15.48,set,Manoflor Impex,Vauth Sagel,,,,,
.MOVENTO TIP-ON 40kg 760H5200T,'08345583,19.36,set,Manoflor Impex,Vauth Sagel,,,,,
.MOVENTO BLUMOTION 40kg 760H5500B,'05161267,15.48,set,Manoflor Impex,Vauth Sagel,,,,,
.MOVENTO TIP-ON 40kg 760H5500T,'02836794,20.18,set,Manoflor Impex,Vauth Sagel,,,,,
.MOVENTO BLUMOTION 40kg 760H6000B,'04095738,18.34,set,Manoflor Impex,Vauth Sagel,,,,,
.MOVENTO TIP-ON 40kg 760H6000T,'05626020,21.82,set,Manoflor Impex,Vauth Sagel,,,,,
.TBX SET SUP FRONT TBX ANTARO INT  M ZIF.71M0 GRI,'05074773,2.23,set,Manoflor Impex,Vauth Sagel,,,,,
LONJERON TBX ANTARO GRI 300_mm_ZRG.237,'01234995,3.22,set,Manoflor Impex,Vauth Sagel,,,,,
LONJERON TBX ANTARO GRI 350_mm_ZRG.287,'07086105,3.53,set,Manoflor Impex,Vauth Sagel,,,,,
LONJERON TBX ANTARO GRI 400_mm_ZRG.337,'03272421,3.62,set,Manoflor Impex,Vauth Sagel,,,,,
LONJERON TBX ANTARO GRI 500 mm_ZRG.437,'03769158,3.48,set,Manoflor Impex,Vauth Sagel,,,,,
LONJERON TBX ANTARO GRI 550 mm_ZRG.487,'07486918,3.88,set,Manoflor Impex,Vauth Sagel,,,,,
LONJERON TBX ANTARO GRI 600 mm_ZRG.537,'05902857,3.95,set,Manoflor Impex,Vauth Sagel,,,,,
LONJERON TBX ANTARO GRI 650 mm_ZRG.587,'09521947,4.1,set,Manoflor Impex,Vauth Sagel,,,,,
.TBX SET SUP SPATE B TBX ANTARO GRI Z30B000S,'04799946,1.01,set,Manoflor Impex,Vauth Sagel,,,,,
.TBX SET SUP SPATE D TBX ANTARO GRI Z30D000S,'08589082,1.52,set,Manoflor Impex,Vauth Sagel,,,,,
.TBX SET SUP SPATE N TBX ANTARO GRI Z30N000S,'04799272,0.84,set,Manoflor Impex,Vauth Sagel,,,,,
.GLISIERA BLUM 230M2500 CREM,'07941633,3.62,set,Manoflor Impex,Vauth Sagel,,,,,
.GLISIERA BLUM 230M3000 CREM,'07942103,1.73,set,Manoflor Impex,Vauth Sagel,,,,,
.GLISIERA BLUM 230M4000 CREM,'07939573,1.79,set,Manoflor Impex,Vauth Sagel,,,,,
.GLISIERA BLUM 230M5000 CREM,'07939493,1.9,set,Manoflor Impex,Vauth Sagel,,,,,
laterale M TBX ANTARO GRI 378M_300_2SA,'08442602,8.79,set,Manoflor Impex,Vauth Sagel,,,,,
laterale M TBX ANTARO GRI 378M_350_2SA,'08442772,8.81,set,Manoflor Impex,Vauth Sagel,,,,,
laterale M TBX ANTARO GRI 378M_400_2SA,'08442912,8.94,set,Manoflor Impex,Vauth Sagel,,,,,
aterale M TBX ANTARO GRI 378M_450_2SA,'08443072,9.02,set,Manoflor Impex,Vauth Sagel,,,,,
.TBX Set laterale INT TBX ANTARO GRI 378M4504S,'06639066,10.83,set,Manoflor Impex,Vauth Sagel,,,,,
.TBX Set laterale INT TBX ANTARO GRI 378M4504S,'06639062,10.83,set,Manoflor Impex,Vauth Sagel,,,,,
laterale M TBX ANTARO GRI 378M_500_2SA,'08443212,9.14,set,Manoflor Impex,Vauth Sagel,,,,,
.TBX Set laterale INT TBX ANTARO GRI 378M5004S,'06639736,10.86,set,Manoflor Impex,Vauth Sagel,,,,,
.TBX Set laterale INT TBX ANTARO GRI 378M5004S,'06639732,10.86,set,Manoflor Impex,Vauth Sagel,,,,,
laterale M TBX ANTARO GRI 378M_550_2SA,'08443382,9.88,set,Manoflor Impex,Vauth Sagel,,,,,
.TBX Set laterale INT TBX ANTARO GRI 378M5504S,'06656746,11.76,set,Manoflor Impex,Vauth Sagel,,,,,
.TBX Set laterale INT TBX ANTARO GRI 378M5504S,'06656742,11.76,set,Manoflor Impex,Vauth Sagel,,,,,
.TBX Set laterale INT TBX ANTARO GRI 378M6004S,'06657556,14.11,set,Manoflor Impex,Vauth Sagel,,,,,
.TBX Set laterale INT TBX ANTARO GRI 378M6004S,'06657552,14.11,set,Manoflor Impex,Vauth Sagel,,,,,
.TBX Set laterale INT TBX ANTARO GRI 378M6504S,'06658366,14.71,set,Manoflor Impex,Vauth Sagel,,,,,
.TBX Set laterale INT TBX ANTARO GRI 378M6504S,'06658362,14.71,set,Manoflor Impex,Vauth Sagel,,,,,
.TBX Set laterale N TBX ANTARO GRI 378N4002SA,'08450382,9.08,set,Manoflor Impex,Vauth Sagel,,,,,
.TBX Set laterale N TBX ANTARO GRI 378N4502SA,'08450452,9.08,set,Manoflor Impex,Vauth Sagel,,,,,
.TBX Set laterale N TBX ANTARO GRI 378N5002SA,'08450522,9.08,set,Manoflor Impex,Vauth Sagel,,,,,
.TBX Set laterale N TBX ANTARO GRI 378N5502SA,'08450692,9.88,set,Manoflor Impex,Vauth Sagel,,,,,
laterale M TBX ANTARO GRI 378M_600_2SA,'08443452,11.63,set,Manoflor Impex,Vauth Sagel,,,,,
laterale M TBX ANTARO GRI 378M_650_2SA,'08450212,12.88,set,Manoflor Impex,Vauth Sagel,,,,,
Cuplaj_Movento-DR_T51.7601,'06616738,7,Set,Schachermayer,BLUM,103357422,,,,
.TANDEM SET Cuplaje st/dr,'02003530,0.43,buc,Schachermayer,BLUM,,,,,
.TIP-ON Placuta de adaptare dreapta lunga 956A1201,'C956.1201_blum,3.7,buc,Schachermayer,BLUM,956A1201,,,,
Balama_Incadrata,'ZW110EW,15.76,Buc,Schachermayer,BLUM,103307190,,,,
Blum_Balama_Lezena_Suruburi,'C05619859,2.55,Buc,Schachermayer,BLUM,79B9950,,,,
.BAL. CLIPTOP APLICATA FARA ARC Oala: suruburi,'ZN100W,0.93,Buc,Schachermayer,BLUM,70T3550.TL,,,,
.TBX MAN SERTAR INT M TBX ANTARO GRI ZIF.80M5,'04276837,3.23,buc,Manoflor Impex,Vauth Sagel,,,,,
LEGRABOX_Front_aluminiu_M_ZV7.1043C01,'8937079,25,ML,Schachermayer,BLUM,ZV7.1043C01,,,,
TANDEM TOTAL BLUMOTION 50kg 566H6000B,'09130412,17.42,,Manoflor Impex,Vauth Sagel,,,,,
Movento cu Bluemotion ext totala 60kg NL=650 stanga/dreapta,'05330115,148.25,Set,Schachermayer,BLUM,,,,,
Set capace acoperire AVENTOS HK stanga dreapta,'09424543,3,,La Alegere,Vauth Sagel,,,,,
LONJERON TBX ANTARO GRI 400_mm_ZRG.337_l,'C03272421,3.62,set,Manoflor Impex,Vauth Sagel,,,,,
LONJERON TBX ANTARO GRI 300_mm_ZRG.237_l,'C01234995,3.22,set,Manoflor Impex,Vauth Sagel,,,,,
LONJERON TBX ANTARO GRI 550 mm_ZRG.487_l,'C07486918,3.88,set,Manoflor Impex,Vauth Sagel,,,,,
Suport_profil_portant_SERVO-DRIVE_vertical,'Z10A3000.03_41019128,50,Set,Schachermayer,BLUM,,,,,
Buton_Led,'833.89.334,36,Buc,Hafele,Hafele,833.89.334,,,,
Distribuitol_butoane,'833.89.066,38,Buc,Hafele,Hafele,833.89.066,,,,
Transformator Transformator_40W,'833.72.935,137,Set,Schachermayer,Hafele,833.72.935,,,,
Cablu_Alimentare,'833.89.002,13,Buc,Hafele,Hafele,833.89.002,,,,
Cablu_buton,'833.89.142,18,Buc,Hafele,Hafele,833.89.142,,,,
Cablu_ distribuitor,'833.89.069,15.74,Buc,Hafele,Hafele,833.89.069,,,,
Cablu Led,'833.95.700,18,Buc,Hafele,Hafele,833.95.700,,,,
Transformator_60W,'833.72.967,157,Set,Hafele,Hafele,833.72.967,,,,
BAL CLIP top BLUMOTION 110° standard aplicata fara arc,'70T3590.TL,11,Buc,Schachermayer,BLUM,,,,,
BAL CLIP top BLUMOTION 110° standard aplicata cu arc,'71T3590,20,buc,Schachermayer,BLUM,,,,,
BAL.CLIP top 155° aplicata fara arc,'70T7590.TL,25,buc,Schachermayer,BLUM,,,,,
BAL.CLIP top 155 aplicata cu arc,'71T7590,31,buc,Schachermayer,BLUM,,,,,
BAL CLIP top 110° standard incadrata fara arc,'70T3790.TL,12,buc,Schachermayer,BLUM,,,,,
